site,MHD,MHD,MHD,ZEP,ZEP,ZEP,THD,THD,THD,JFJ,JFJ,JFJ,RPB,RPB,RPB,SMO,SMO,SMO,CGO,CGO,CGO
box,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3
var,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability
1999-09-01,259.9298919677734,0.2128148,0.6391281,,,,260.322998046875,0.18227024,0.6394456,,,,259.8890075683594,0.22721466,0.66765875,258.716796875,0.23128738,0.3905346,257.9412,0.19057092140921383,0.36423307023644547
1999-10-01,260.4534057617187,0.26494592,2.4506452,,,,260.96339721679686,0.18274114,0.71194327,,,,260.1634094238281,0.21716745,0.3873108,258.614990234375,0.21409166,0.35974157,257.8378,0.22309724696356284,0.3998602322382722
1999-11-01,260.9388946533203,0.25926366,0.38301525,,,,261.1551910400391,0.21050192,0.6022249,,,,260.1029968261719,0.22097121,0.6705786,258.65269470214844,2.7607446,0.4052629,257.8345,0.20188029999999973,0.1566101561524767
1999-12-01,260.9587066650391,0.29439524,0.3158169,,,,261.1099853515625,0.18735777,0.3490165,,,,260.5465942382813,0.20930746,0.2790498,258.5876037597656,0.2310344,0.44584906,257.678,0.19918212041884825,0.4138858002002042
2000-01-01,260.84100341796875,0.22018822,0.3434407,,,,260.881201171875,0.19737191,0.30493584,,,,260.5803985595703,0.23796047,0.23351021,259.0559997558594,0.24707751,0.35202047,257.49440000000004,0.19639907960198982,0.19418277143640683
2000-02-01,260.69561157226565,0.27386573,0.28245705,,,,260.79340209960935,0.19914322,0.6382979,,,,260.36199951171875,0.25423095,0.23198947,258.764794921875,0.2624333,0.42477065,257.288,0.19544549865229097,0.2933277188109985
2000-03-01,260.45599365234375,0.2174092,0.6905896,,,,260.9538970947266,0.19272256,0.35439608,,,,260.33270568847655,0.22535005,0.25619256,258.6700134277344,0.19498791,0.4557675,257.0599,0.17368489847715732,0.26120700279023856
2000-04-01,260.66208801269534,0.18798295,0.51249605,,,,260.7650146484375,0.1833298,0.3555826,,,,260.1647064208984,0.2077758,0.2192759,258.1789855957031,0.20066676,0.47636077,256.8437,0.16244036458333358,0.3829057096298228
2000-05-01,260.38319702148436,0.21610406,1.1757694,,,,260.5799865722656,0.18301319,0.25210497,,,,260.14479370117186,0.2035607,0.1939159,257.7749938964844,0.17211448,0.6052048,256.7023,0.18532207729468594,0.4648561428874044
2000-06-01,260.2353973388672,0.18598808,1.1320115,,,,260.4129943847656,0.17763315,0.4508206,,,,260.12200927734375,0.20195268,0.20650683,257.6708923339844,0.17895274,0.26025537,256.73260000000005,0.16631559796437706,0.5172653602989083
